"Time (EpSec),""Range (km)"""
4104978.948,2381.809277
4104998.000,2316.580096
4105018.000,2254.557937
4105038.000,2199.728733
4105058.000,2152.671667
4105078.000,2113.931600
4105098.000,2083.994283
4105118.000,2063.260585
4105138.000,2052.022876
4105158.000,2050.446233
4105178.000,2058.557415
4105198.000,2076.242976
4105218.000,2103.257206
4105238.000,2139.238342
4105258.000,2183.730865
4105278.000,2236.210673
4105298.000,2296.110536
4105318.000,2362.843323
4105327.164,2395.540488
4110783.246,2368.806029
4110803.000,2240.058237
4110823.000,2110.732695
4110843.000,1982.700828
4110863.000,1856.290799
4110883.000,1731.917587
4110903.000,1610.112205
4110923.000,1491.561657
4110943.000,1377.162978
4110963.000,1268.094451
4110983.000,1165.904236
4111003.000,1072.607623
4111023.000,990.762774
4111043.000,923.455614
4111063.000,874.078823
4111083.000,845.796748
4111103.000,840.748583
4111123.000,859.341029
4111143.000,900.097685
4111163.000,960.179253
4111183.000,1036.201598
4111203.000,1124.903772
4111223.000,1223.492845
4111243.000,1329.729713
4111263.000,1441.880261
4111283.000,1558.621515
4111303.000,1678.947361
4111323.000,1802.089642
4111343.000,1927.457134
4111363.000,2054.590058
4111383.000,2183.126704
4111403.000,2312.779053
